Column1,Column2
什麼茶具是用來泡茶和倒茶的？,茶壺 (Teapot)
What is the function of a Teapot (茶壺)?,It is used to brew and pour tea.
哪一個茶具的功能是「保護茶壺與桌子」？,壺墊 (Teapot Pad)
What is the purpose of a Teapot Pad?,To protect the teapot and the table.
The _____ is placed under the teapot to protect it and the table.,Teapot Pad (壺墊)
茶罐的英文是什麼？,Tea Caddy
What is a Tea Caddy (茶罐) used for?,To keep tea leaves fresh.
用來「裝茶葉的地方」的茶具稱為什麼？,茶罐 (Tea Caddy)
茶針的功用是什麼？,把茶葉推進壺裡。
Which tool is used to push tea leaves into the teapot?,Tea Pick (茶針)
What is the English term for a tool used to push tea leaves into the teapot?,Tea Pick
用來「把茶葉舀出來」的茶具是什麼？,茶匙 (Tea Scoop)
What is the function of a Tea Scoop (茶匙)?,To scoop out tea leaves.
The Chinese term for a Tea Scoop is _____.,茶匙
茶巾的功用是什麼？,拿來擦桌面或茶具。
Which item is used to wipe tea tools and the table?,Tea Towel (茶巾)
What is the Chinese term for a Tea Towel?,茶巾
什麼是「用來喝茶的杯子」？,茶杯 (Teacup)
A small cup for drinking tea is called a _____.,Teacup (茶杯)
茶杯托的功用是什麼？,放在茶杯下方，保護茶杯並保持桌面乾淨。
What is placed under a teacup to keep it safe and clean?,Tea Saucer (茶杯托)
The English term for 茶杯托 is _____.,Tea Saucer
哪一個茶具是用來「把茶湯平均的倒到杯子裡」？,茶海 (Serving Pot)
What is a Serving Pot (茶海) used for?,To pour tea evenly into the cups.
The _____ ensures that tea is poured evenly into each cup.,Serving Pot (茶海)
水方的功用是什麼？,倒掉茶渣和多餘的水。
Which item is used to collect leftover tea or rinse water?,Waste Bowl (水方)
The Chinese term for a Waste Bowl in a tea set is _____.,水方
「綠茶」的英文是什麼？,Green Tea
What is 「白茶」 in English?,White Tea
「黃茶」的英文是什麼？,Yellow Tea
What is 「烏龍茶」 in English?,Oolong Tea
「紅茶」的英文是什麼？,Black Tea
What is 「黑茶」 in English?,Dark Tea
What is Green Tea in Traditional Chinese?,綠茶
What is White Tea in Traditional Chinese?,白茶
What is Yellow Tea in Traditional Chinese?,黃茶
What is Oolong Tea in Traditional Chinese?,烏龍茶
What is Black Tea in Traditional Chinese?,紅茶
What is Dark Tea in Traditional Chinese?,黑茶
"The name of the booklet is ""Be a Little Tea Master with _____.""",Three Acts of Goodness
What is the concept that combines the practice of tea and Zen meditation?,Tea Chan (茶禪)
"What are the ""Three Acts of Goodness"" promoted by Fo Guang Shan? (佛光山提倡的「三好」是哪三件事？)",做好事、說好話、存好心
What is the English for 做好事?,Do Good Deeds
What is the English for 說好話?,Speak Good Words
What is the English for 存好心?,Think Good Thoughts
"What is the Chinese for ""Do Good Deeds""?",做好事
"What is the Chinese for ""Speak Good Words""?",說好話
"What is the Chinese for ""Think Good Thoughts""?",存好心
"The three acts of goodness are: Do Good Deeds, Speak Good Words, and _____.",Think Good Thoughts
三好運動是：做好事、_____、存好心。,說好話
"According to the analogy, what do tea leaves need to release their fragrance? (根據譬喻，茶葉需要什麼才能釋放香氣？)",Boiling water (沸水)
"According to the analogy, what do people need to become talented? (根據譬喻，人需要什麼才能成為人才？)",Training/Hardship (磨練)
Helping someone who has fallen is an example of which act of goodness? (幫助跌倒的人是「三好」中的哪一項？),Do Good Deeds (做好事)
"Saying ""please"" and ""thank you"" is an example of which act of goodness? (說「請」和「謝謝」是「三好」中的哪一項？)",Speak Good Words (說好話)
Silently wishing for your friend to succeed on a test is an example of which act of goodness? (在心裡祝福朋友考試成功是「三好」中的哪一項？),Think Good Thoughts (存好心)
"Venerable Master Hsing Yun often asked, ""What can I _____ for you?"" (星雲大師常問：「我還可以為您做什麼？」)",do
"In Tea Chan (茶禪), what is a simple good deed you can do for others? (在茶禪裡，你可以為別人做的一件簡單好事是什麼？)",Brew tea (泡茶)
Which of the Three Acts of Goodness is an internal action that happens in your mind? (三好中，哪一項是發生在心裡、別人看不見的？),Think Good Thoughts (存好心)
"The course title ""Little Tea Master"" is associated with which organization? (「小茶師」課程與哪個單位有關？)",FGS (佛光山)
What is the topic for group discussion mentioned in the lesson? (課程中提到的小組討論主題是什麼？),Using Tea Chan to Do Three Acts of Goodness (用茶禪行三好)
"One student wrote, ""Courage is doing what you're _____ to do."" (一位學生寫下：「勇氣是去做你所_____的事。」)",afraid (害怕)
A student's note expresses gratitude for whom for making the tables and chairs? (一位學生的筆記感謝誰製作桌椅？),The carpenter (木匠)
A student's note expresses gratitude for the people who _____ the tea. (一位學生的筆記感謝_____的人。),made (製茶)
What question can you ask in English to offer help? (你可以用哪句英文來主動提供幫助？),What can I do for you?
What is a good phrase to say when offering someone tea? (請人喝茶時可以說的一句好話是什麼？),請喝茶 (Please have some tea)
"The question ""What can I speak good words for you?"" asks what in Chinese? (「What can I speak good words for you?」的中文意思是什麼？)",我可以為你說哪些好話？
"The image with a heart, a smiley face, and a hand represents what concept? (有愛心、笑臉和手掌的圖案代表什麼概念？)",The Three Acts of Goodness (三好)
"Which of the Three Acts of Goodness do you practice when you encourage a friend by saying ""You can do it!""? (當你對朋友說「你可以的！」來鼓勵他時，你正在實踐三好中的哪一項？)",Speak Good Words (說好話)
"When you decide to be patient instead of getting angry, which act of goodness are you practicing? (當你決定保持耐心而不是生氣時，你正在實踐三好中的哪一項？)",Think Good Thoughts (存好心)
Sharing your snacks with a classmate is an example of which act of goodness? (跟同學分享你的點心是三好中的哪一項？),Do Good Deeds (做好事)
"According to a student's notes, who should be thanked for building the Twin Pavilions? (根據學生筆記，感謝誰建了雙閣樓？)",Venerable Master Hsing Yun (星雲大師)
